id	mother	father	year	rep	scheme
56919	36015	38601	45	1	PedigreSelection
48137	33926	30234	45	1	PedigreSelection
54243	44576	36015	45	1	PedigreSelection
56197	44576	35893	45	1	PedigreSelection
47361	33926	25454	45	1	PedigreSelection
49651	40008	38601	45	1	PedigreSelection
38548	28321	27772	45	1	PedigreSelection
48421	34023	27302	45	1	PedigreSelection
50414	34023	29645	45	1	PedigreSelection
35591	11979	18482	45	1	PedigreSelection
50644	36015	29645	45	1	PedigreSelection
47596	34023	31867	45	1	PedigreSelection
35893	13740	11763	45	1	PedigreSelection
49959	30046	38436	45	1	PedigreSelection
55470	19	36015	45	1	PedigreSelection
34023	14647	4903	45	1	PedigreSelection
47607	34023	31867	45	1	PedigreSelection
52950	36015	42544	46	1	PedigreSelection
52679	38548	40001	46	1	PedigreSelection
40008	18482	11763	46	1	PedigreSelection
50644	36015	29645	46	1	PedigreSelection
57849	38548	40008	46	1	PedigreSelection
55780	40008	41854	46	1	PedigreSelection
58940	40008	45578	46	1	PedigreSelection
49651	40008	38601	46	1	PedigreSelection
35591	11979	18482	46	1	PedigreSelection
49441	34023	40008	46	1	PedigreSelection
57913	36015	38601	46	1	PedigreSelection
55776	40008	41854	46	1	PedigreSelection
57897	36015	45578	46	1	PedigreSelection
58929	47607	36015	46	1	PedigreSelection
58950	40008	45578	46	1	PedigreSelection
59154	48884	49651	46	1	PedigreSelection
38548	28321	27772	46	1	PedigreSelection
56919	36015	38601	46	1	PedigreSelection
59170	48884	49651	46	1	PedigreSelection
35893	13740	11763	46	1	PedigreSelection
59885	47361	44386	46	1	PedigreSelection
44374	34023	30234	46	1	PedigreSelection
54243	44576	36015	46	1	PedigreSelection
56197	44576	35893	46	1	PedigreSelection
48137	33926	30234	46	1	PedigreSelection
55470	19	36015	46	1	PedigreSelection
34023	14647	4903	46	1	PedigreSelection
48421	34023	27302	46	1	PedigreSelection
50414	34023	29645	46	1	PedigreSelection
49959	30046	38436	46	1	PedigreSelection
60926	40008	50644	47	1	PedigreSelection
60680	49441	40008	47	1	PedigreSelection
60682	49441	40008	47	1	PedigreSelection
55780	40008	41854	47	1	PedigreSelection
58940	40008	45578	47	1	PedigreSelection
52950	36015	42544	47	1	PedigreSelection
40008	18482	11763	47	1	PedigreSelection
57897	36015	45578	47	1	PedigreSelection
57849	38548	40008	47	1	PedigreSelection
52679	38548	40001	47	1	PedigreSelection
55776	40008	41854	47	1	PedigreSelection
54243	44576	36015	47	1	PedigreSelection
57913	36015	38601	47	1	PedigreSelection
58950	40008	45578	47	1	PedigreSelection
58929	47607	36015	47	1	PedigreSelection
50644	36015	29645	47	1	PedigreSelection
49651	40008	38601	47	1	PedigreSelection
56919	36015	38601	47	1	PedigreSelection
50414	34023	29645	47	1	PedigreSelection
59170	48884	49651	47	1	PedigreSelection
49441	34023	40008	47	1	PedigreSelection
59154	48884	49651	47	1	PedigreSelection
59885	47361	44386	47	1	PedigreSelection
56197	44576	35893	47	1	PedigreSelection
35893	13740	11763	47	1	PedigreSelection
34023	14647	4903	47	1	PedigreSelection
35591	11979	18482	47	1	PedigreSelection
48421	34023	27302	47	1	PedigreSelection
55470	19	36015	47	1	PedigreSelection
44374	34023	30234	47	1	PedigreSelection
61776	49441	40008	48	1	PedigreSelection
59170	48884	49651	48	1	PedigreSelection
59154	48884	49651	48	1	PedigreSelection
59885	47361	44386	48	1	PedigreSelection
61786	49441	40008	48	1	PedigreSelection
61785	49441	40008	48	1	PedigreSelection
60682	49441	40008	48	1	PedigreSelection
58940	40008	45578	48	1	PedigreSelection
60680	49441	40008	48	1	PedigreSelection
50414	34023	29645	48	1	PedigreSelection
58950	40008	45578	48	1	PedigreSelection
40008	18482	11763	48	1	PedigreSelection
49441	34023	40008	48	1	PedigreSelection
48421	34023	27302	48	1	PedigreSelection
57897	36015	45578	48	1	PedigreSelection
49651	40008	38601	48	1	PedigreSelection
57913	36015	38601	48	1	PedigreSelection
56197	44576	35893	48	1	PedigreSelection
57849	38548	40008	48	1	PedigreSelection
56919	36015	38601	48	1	PedigreSelection
