year	rep	scenario	meanG	varG	accSel
36	1	Burn_in	4296.37314195629	70519.9462021459	0.456364293493526
37	1	Burn_in	4398.26074536329	75774.2531792801	0.414794020691606
38	1	Burn_in	4367.97008423656	108487.759972021	0.490693368743154
39	1	Burn_in	4394.31461803166	93240.2578415083	0.188569345692731
40	1	Burn_in	4462.10149776688	66756.8927049359	0.132699246657916
41	1	Pheno	4490.66619627721	63232.3173227608	0.178249943957133
42	1	Pheno	4575.91501448865	58806.8544954104	0.329323425855354
43	1	Pheno	4630.47884640958	50293.6639770814	0.436204086044076
44	1	Pheno	4672.92499153625	50890.3199711477	0.228171502682552
45	1	Pheno	4670.78622630245	61966.8430522381	0.411498356401539
46	1	Pheno	4601.90179113237	62163.5975433501	0.291842913629644
47	1	Pheno	4674.54895610197	69883.7836374144	0.304541868663815
48	1	Pheno	4753.16346703132	46336.2697850463	0.182921342106603
49	1	Pheno	4683.95252839436	51226.8364090166	0.362107298939284
50	1	Pheno	4677.21503560797	62447.3248298911	-0.0195979314847179
51	1	Pheno	4777.73635004711	67005.513314178	0.582342715129438
52	1	Pheno	4778.13932572844	49856.9995871768	0.416850548469585
53	1	Pheno	4779.50726498454	76310.2233061655	0.31784741478326
54	1	Pheno	4822.63770758555	67337.5384543127	-0.110925670911827
55	1	Pheno	4788.45988081758	61187.6175642011	0.152298406558851
56	1	Pheno	4799.0102390293	58433.0609461616	0.215548238826762
57	1	Pheno	4785.67112102296	43473.3812361102	-0.0671089494932164
58	1	Pheno	4880.23407015961	69847.6723857723	0.453393984157509
59	1	Pheno	4783.36954284194	64697.8602758455	0.172713698800687
60	1	Pheno	4779.65027595965	87640.6996678614	0.1481511392487
61	1	Pheno	4898.80991647621	75835.5729666348	0.0262011540514853
62	1	Pheno	4799.69542290991	70407.7102145486	0.321833742805289
63	1	Pheno	4767.87479940936	73491.9210950509	0.331260348040584
64	1	Pheno	4724.92996968987	73392.0764560135	0.395570839308082
65	1	Pheno	4891.45761166498	97452.381408569	0.532414446759107
66	1	Pheno	4860.6001781551	60195.1150034144	0.419923668728636
67	1	Pheno	4868.26192198272	72098.2299841811	0.459855999640995
68	1	Pheno	4881.22164312106	50180.5653382856	0.295212286653346
69	1	Pheno	4879.13119989642	45779.6201965397	0.572669154186656
70	1	Pheno	4895.50550716203	45249.9692739728	0.600871524857311
71	1	Pheno	5035.99949197302	69695.1235539457	0.2322408702426
72	1	Pheno	5106.50312459898	45093.5025578146	0.40652777111603
73	1	Pheno	5005.24320455767	40869.5158146921	0.106082033437383
74	1	Pheno	5018.94296379831	52018.7323712282	0.309884612096859
75	1	Pheno	5032.30252561647	41993.0123688061	0.283900738450547
76	1	Pheno	5046.56465036874	66121.9468450414	0.287211298482731
77	1	Pheno	5076.01638458997	51585.2118827742	0.198019675476241
78	1	Pheno	5013.90457819433	55170.903288242	0.238053033650348
79	1	Pheno	5025.78609122111	59958.9356678606	0.238100884549008
80	1	Pheno	5017.41102658671	66746.6199703743	0.234531454371502
1	1	Burn_in	2584.74639031329	161198.41601842	0.46468575217046
2	1	Burn_in	2578.31610414265	104152.211789282	0.441074338254412
3	1	Burn_in	2759.94555360847	179154.742323624	0.37708497452979
4	1	Burn_in	2923.39503210644	195881.206066808	0.341340512291587
5	1	Burn_in	2778.53728495635	179283.218857992	0.135908927452627
6	1	Burn_in	2915.20260131106	170118.212703959	0.469499863931402
7	1	Burn_in	3014.74305702371	170468.508149946	0.328354579384819
8	1	Burn_in	3034.32910982688	162992.404722675	0.402519786699775
9	1	Burn_in	3119.27619178764	126446.419692333	0.202582940965636
10	1	Burn_in	3074.70888718118	134426.896024837	0.150477343258832
11	1	Burn_in	3151.01334352476	146711.978586174	0.491480517089287
12	1	Burn_in	3129.48453811551	139659.849254987	0.342026030227257
13	1	Burn_in	3195.21020155983	155807.78243024	0.456420704161527
14	1	Burn_in	3339.06221996789	119602.277609192	0.455917793840086
15	1	Burn_in	3472.04154069723	126511.103858693	0.292636194038665
16	1	Burn_in	3387.86924309331	118057.053281047	0.359146582540566
17	1	Burn_in	3540.70673211773	115562.547634164	0.387532388813731
18	1	Burn_in	3538.65279654969	103420.271110752	0.573255916413404
19	1	Burn_in	3605.73860163728	90686.091426093	0.377940767790304
20	1	Burn_in	3566.21756256045	99481.7037732456	0.275984511337675
21	1	Burn_in	3720.43827772614	103353.084428336	0.327266879596286
22	1	Burn_in	3732.0529108102	94436.0544793031	0.3967904651275
23	1	Burn_in	3749.19500123956	121318.005475508	0.19812894565833
24	1	Burn_in	3747.0502978953	106943.818835775	0.359433253526811
25	1	Burn_in	3790.18066075808	91524.4217552964	0.400046602745007
26	1	Burn_in	3840.0952100602	102226.403801914	0.46107798730776
27	1	Burn_in	3886.60806061107	85243.3833523183	0.394752381808839
28	1	Burn_in	3957.52562662022	108616.072045092	0.229186011065235
29	1	Burn_in	3942.42416652839	92326.8712416559	0.451142168281853
30	1	Burn_in	4056.33158012974	107464.916950351	0.295861005138892
31	1	Burn_in	4108.46829081627	135385.361294108	0.354637909809096
32	1	Burn_in	4126.88742328316	91681.6139758031	0.261670750817634
33	1	Burn_in	4080.64067229066	110967.621296753	0.421706842518267
34	1	Burn_in	4164.4172855315	105274.139118848	0.337633960754671
35	1	Burn_in	4223.99731601955	68688.224243715	0.375657570492104
36	1	Burn_in	4296.37314195629	70519.9462021459	0.456364293493526
37	1	Burn_in	4398.26074536329	75774.2531792801	0.414794020691606
38	1	Burn_in	4367.97008423656	108487.759972021	0.490693368743154
39	1	Burn_in	4394.31461803166	93240.2578415083	0.188569345692731
40	1	Burn_in	4462.10149776688	66756.8927049359	0.132699246657916
41	1	PedigreSelection	4490.66619627721	63232.3173227608	0.0992171936038552
42	1	PedigreSelection	4590.04099707133	56572.6620844433	0.467229035618726
43	1	PedigreSelection	4592.78642043187	65090.0160653528	0.403270107521995
44	1	PedigreSelection	4633.55165936191	71167.197332449	0.40936060637265
45	1	PedigreSelection	4642.15923496199	94344.6693598499	0.339951254800985
46	1	PedigreSelection	4656.68044094448	73793.7994296761	0.47634664239086
47	1	PedigreSelection	4657.58342438434	81529.7470524722	0.502581935379568
48	1	PedigreSelection	4741.79272575793	52581.3104604068	0.144227194758937
49	1	PedigreSelection	4769.59930406507	59904.9694987628	0.53717866530555
50	1	PedigreSelection	4821.46295057956	58675.5041414112	0.165917570326992
51	1	PedigreSelection	4851.54690266652	46228.8505530259	0.31712958102003
52	1	PedigreSelection	4829.61849694888	68532.3769023523	0.552058410878476
53	1	PedigreSelection	4896.39018457961	31660.8693769647	0.382025113417204
54	1	PedigreSelection	4929.49061012539	41995.16301604	0.14256876289254
55	1	PedigreSelection	4944.58778718997	41483.9971467884	0.283972596915398
56	1	PedigreSelection	4970.44321482358	35144.9495746881	0.354035924285386
57	1	PedigreSelection	4989.94938139123	33043.2294242419	-0.236858255985573
58	1	PedigreSelection	4982.69879123275	31382.488709215	0.281178792315593
59	1	PedigreSelection	4999.22710747093	40791.9712392644	0.324656617094985
60	1	PedigreSelection	5036.96050194338	38924.2144719768	0.22445230067633
61	1	PedigreSelection	5100.42452160632	47447.739571582	0.347937692995166
62	1	PedigreSelection	5113.2277510086	51914.1425932046	0.280645567642321
63	1	PedigreSelection	5139.18763111659	44775.7979047066	0.329399168220238
64	1	PedigreSelection	5142.59790464586	35522.0946273818	0.279092254141355
65	1	PedigreSelection	5105.27021650619	39936.8387003682	0.358050435262109
66	1	PedigreSelection	5222.15201490568	37396.5144207151	0.518179887760684
67	1	PedigreSelection	5241.91164929301	19755.5375243118	0.557464407518119
68	1	PedigreSelection	5252.14879634607	17768.759517923	0.486206105964958
69	1	PedigreSelection	5211.35252854566	32656.6332436524	0.281986275342642
70	1	PedigreSelection	5208.52474345005	26155.8794710059	0.577316404282355
71	1	PedigreSelection	5235.61666864104	25565.1547048238	0.367646894154264
72	1	PedigreSelection	5271.1712836445	23704.768932313	0.175403918458356
73	1	PedigreSelection	5302.82459373949	14985.0837672715	0.257176645728181
74	1	PedigreSelection	5297.00310419616	21729.9616154874	0.557818931262724
75	1	PedigreSelection	5302.9583412289	16002.535942312	0.297395313910479
76	1	PedigreSelection	5344.08675433378	17217.7646117536	0.437572318287465
77	1	PedigreSelection	5359.14123079421	23041.1249168246	0.311595275561461
78	1	PedigreSelection	5390.42222868151	21442.7561358728	0.190661556560054
79	1	PedigreSelection	5367.46117820245	24050.8280427329	0.33382290585727
80	1	PedigreSelection	5379.19173498935	21808.6575178919	0.250049348820875
1	1	Burn_in	2584.74639031329	161198.41601842	0.46468575217046
2	1	Burn_in	2578.31610414265	104152.211789282	0.441074338254412
3	1	Burn_in	2759.94555360847	179154.742323624	0.37708497452979
4	1	Burn_in	2923.39503210644	195881.206066808	0.341340512291587
5	1	Burn_in	2778.53728495635	179283.218857992	0.135908927452627
6	1	Burn_in	2915.20260131106	170118.212703959	0.469499863931402
7	1	Burn_in	3014.74305702371	170468.508149946	0.328354579384819
8	1	Burn_in	3034.32910982688	162992.404722675	0.402519786699775
9	1	Burn_in	3119.27619178764	126446.419692333	0.202582940965636
10	1	Burn_in	3074.70888718118	134426.896024837	0.150477343258832
11	1	Burn_in	3151.01334352476	146711.978586174	0.491480517089287
12	1	Burn_in	3129.48453811551	139659.849254987	0.342026030227257
13	1	Burn_in	3195.21020155983	155807.78243024	0.456420704161527
14	1	Burn_in	3339.06221996789	119602.277609192	0.455917793840086
15	1	Burn_in	3472.04154069723	126511.103858693	0.292636194038665
16	1	Burn_in	3387.86924309331	118057.053281047	0.359146582540566
17	1	Burn_in	3540.70673211773	115562.547634164	0.387532388813731
18	1	Burn_in	3538.65279654969	103420.271110752	0.573255916413404
19	1	Burn_in	3605.73860163728	90686.091426093	0.377940767790304
20	1	Burn_in	3566.21756256045	99481.7037732456	0.275984511337675
21	1	Burn_in	3720.43827772614	103353.084428336	0.327266879596286
22	1	Burn_in	3732.0529108102	94436.0544793031	0.3967904651275
23	1	Burn_in	3749.19500123956	121318.005475508	0.19812894565833
24	1	Burn_in	3747.0502978953	106943.818835775	0.359433253526811
25	1	Burn_in	3790.18066075808	91524.4217552964	0.400046602745007
26	1	Burn_in	3840.0952100602	102226.403801914	0.46107798730776
27	1	Burn_in	3886.60806061107	85243.3833523183	0.394752381808839
28	1	Burn_in	3957.52562662022	108616.072045092	0.229186011065235
29	1	Burn_in	3942.42416652839	92326.8712416559	0.451142168281853
30	1	Burn_in	4056.33158012974	107464.916950351	0.295861005138892
31	1	Burn_in	4108.46829081627	135385.361294108	0.354637909809096
32	1	Burn_in	4126.88742328316	91681.6139758031	0.261670750817634
33	1	Burn_in	4080.64067229066	110967.621296753	0.421706842518267
34	1	Burn_in	4164.4172855315	105274.139118848	0.337633960754671
35	1	Burn_in	4223.99731601955	68688.224243715	0.375657570492104
36	1	Burn_in	4296.37314195629	70519.9462021459	0.456364293493526
37	1	Burn_in	4398.26074536329	75774.2531792801	0.414794020691606
38	1	Burn_in	4367.97008423656	108487.759972021	0.490693368743154
39	1	Burn_in	4394.31461803166	93240.2578415083	0.188569345692731
40	1	Burn_in	4462.10149776688	66756.8927049359	0.132699246657916
41	1	GS	4490.66619627721	63232.3173227608	0.567629080623039
42	1	GS	4563.91056029976	74969.0712966772	0.577797258423306
43	1	GS	4642.59657770534	71483.0931570736	0.761054299968991
44	1	GS	4714.66860979474	59077.0818193166	0.691221346406796
45	1	GS	4739.20140629573	50366.6123562695	0.639641318427347
46	1	GS	4745.91946329581	42879.1181615784	0.564698252006736
47	1	GS	4820.1095017057	33664.5011911346	0.640869277894273
48	1	GS	4790.66797840088	35567.2598493573	0.619877615527476
49	1	GS	4820.98937887061	54719.0701515919	0.394396208951889
50	1	GS	4856.28524837345	31302.7817940605	0.407073448582156
51	1	GS	4825.90373606429	28621.0762102653	0.441231192537578
52	1	GS	4898.75921518494	29036.5585896937	0.406833870566448
53	1	GS	4924.26922477237	24328.5208782611	0.494277159862751
54	1	GS	4981.4100801301	28008.7855865137	0.784931007249232
55	1	GS	5001.16852469916	32802.7456351848	0.70148630884209
56	1	GS	5075.94051756734	21482.2591074378	0.805297564069781
57	1	GS	5092.17289465304	15838.2400835571	0.649935763886502
58	1	GS	5139.80074335746	11323.4109964331	0.697326803087917
59	1	GS	5182.07606547812	10377.3345735221	0.481093465062267
60	1	GS	5168.02633454273	9512.3367904385	0.438792562946396
61	1	GS	5164.29609363104	11735.9991142355	0.0399655998031879
