year	rep	scenario	meanG	varG	accSel
60	1	Pheno	3595.35486372536	205286.239448497	0.255887437957318
61	1	Pheno	3589.82315492482	131976.279549009	0.6278800153964
62	1	Pheno	3606.58622353686	144341.901422265	0.433590027400779
63	1	Pheno	3620.7941392181	196009.365449165	0.56038453324748
64	1	Pheno	3649.81961862087	232702.606416558	0.59388088100017
65	1	Pheno	3802.77637749903	87621.5378882252	0.144594544510288
66	1	Pheno	3956.38545075823	110075.313921865	0.450426729194154
67	1	Pheno	3847.36912877792	136574.279454713	0.529136733219821
68	1	Pheno	3780.78762589821	122554.306163898	0.224444259867446
69	1	Pheno	3841.03113379015	138170.23158439	0.467949533116179
70	1	Pheno	3892.38050886163	136043.263358452	0.337132195777266
71	1	Pheno	3923.37347589665	129697.028598177	0.3932396362446
72	1	Pheno	3933.44319874374	102820.234628892	0.561827213777801
73	1	Pheno	3920.88587116029	137029.39871399	0.38745370745039
74	1	Pheno	4169.67491718993	85497.9960134495	0.554590489235397
75	1	Pheno	4116.45704352965	92854.6145326014	0.530380468868207
76	1	Pheno	4138.78182860186	73642.8603736233	0.0805679535356581
77	1	Pheno	4108.67289084685	83850.6335452499	0.493070914975267
78	1	Pheno	4123.3342938243	90712.9303097014	0.402634662988004
79	1	Pheno	4013.95184829252	71232.4706817337	0.293524914746232
80	1	Pheno	4180.58759370533	91575.3342582614	0.301642080533842
81	1	Pheno	4024.79220688812	108833.825384931	0.340735248970684
82	1	Pheno	4149.70459647345	81899.0206171313	0.301507755926851
83	1	Pheno	4189.41894773494	88458.0280940883	0.366749537199118
84	1	Pheno	4198.45900185616	96620.287130544	0.326026673827222
85	1	Pheno	4139.94383387205	119003.560560158	0.318558696019873
86	1	Pheno	4196.05106227335	76504.3964953693	0.323200350158211
87	1	Pheno	4115.57753406655	111629.807864777	0.28566072674122
88	1	Pheno	4169.28995578355	117014.69563303	0.37111389476761
89	1	Pheno	4164.91160119098	99449.8251239198	0.30431411165235
90	1	Pheno	4181.18217109411	122369.236142961	0.369566099930051
91	1	Pheno	4251.4726324256	106243.860940626	0.349313333973286
92	1	Pheno	4116.89670406162	92504.5452861385	0.383453085268748
93	1	Pheno	4266.08272983442	103728.127781515	0.401157296913021
94	1	Pheno	4116.14788928433	106458.903768882	0.436858627611233
95	1	Pheno	4256.28337448267	110612.517599454	0.353544261592148
96	1	Pheno	4265.24020227575	124234.278894773	0.395598802882382
97	1	Pheno	4320.02606510451	98213.3823583597	0.351581659676715
98	1	Pheno	4366.49552900212	111738.276818981	0.405399557050747
99	1	Pheno	4404.32631845095	104922.524142331	0.404370186051816
100	1	Pheno	4356.19649412233	106019.936813965	0.347810437138441
101	1	Pheno	4403.42701016092	92541.5751551373	0.438200053863939
102	1	Pheno	4389.25993647178	115675.811060201	0.377293601098456
103	1	Pheno	4360.05539912866	142193.307141472	0.339971132264147
104	1	Pheno	4429.08882259867	106546.312820711	0.37939672068422
105	1	Pheno	4318.68307779787	125480.92582929	0.332440388567129
106	1	Pheno	4354.45062607891	88140.5390270049	0.365586434076169
107	1	Pheno	4281.13685462678	96513.871598487	0.47912503190572
